1007 Lausanne	(46.516054, 6.608998000000001)
Rue du Levant 3, 1201 Genève	(46.2117575, 6.1477936)
Rue du Marché 19, 1820 Montreux	(46.4339072, 6.9123413)
Rue du Pas-de-l'Ours, 3963 Chermignon	(46.30686079999999, 7.459308299999997)
Rue du Prado 2, 3963 Crans-Montana	(46.3054204, 7.4673261)
Rue du Stand 20; 1204, Geneva	(46.2030261, 6.1348879)
Rue du Torrent 9, 1800 Vevey	(46.46030409999999, 6.840979799999999)
Rämistrasse 6; 8001, Zürich	(47.36766610000001, 8.5461128)
SCHANZENGRABEN 1, 8001 ZÜRICH	(47.3702431, 8.533861900000002)
Safrangasse 8, 8200 Schaffhausen	(47.69738359999999, 8.635252399999999)
Sandrainstrasse 10, Bern	(46.9400007, 7.4405895)
Sandrainstrasse 25; 3007, Bern	(46.9383456, 7.4424018)
Sankt Johanns-Rheinweg 46  4056 Basel	(47.56429269999999, 7.584177200000001)
Schaffhauserstrasse 148; 8400, Winterthur	(47.5159459, 8.7208699)
Schiffbaustrasse 3; 8005, Zurich	(47.3885043, 8.5189273)
Schlossmühlestrasse 1, 8500 Frauenfeld	(47.55508139999999, 8.8971346)
Schwandstrasse 91, 6390 Engelberg	(46.82288039999999, 8.3965288)
Schweizerhofpassage Bern	(46.9487556, 7.441518899999998)
Schöneggstrasse 10 8004 Zürich	(47.3800733, 8.5271974)
Schützengasse 15, 8001 Zürich	(47.37653469999999, 8.539096499999998)
Schützenmattstrasse 1b, Bülach	(47.5275139, 8.533734899999999)
Seestrasse 395; 8038, Zürich	(47.3435897, 8.5358316)
Seidenhofstrasse 5; 6003, Luzern	(47.05024249999999, 8.307763099999999)
Seilerbahnweg 9, 7000 Chur	(46.84694289999999, 9.527467)
Selnaustrasse 2	(47.3698567, 8.5335583)
Sentier Sentier des Saules 3; 1205, Genève	(46.2024841, 6.130823200000001)
Sihlhallenstrasse 3; 8000, Zürich	(47.37946989999999, 8.5271978)
Sihlquai 268; 8005, Zürich	(47.38871349999999, 8.5284754)
Solothurnerstrasse 22, 4600 Olten	(47.3502295, 7.8988715)
Sous-Géronde	(46.283818, 7.539757)
Speichergasse 4, Berne	(46.9503361, 7.4429804)
Spinnereiweg 17; 3004, Bern	(46.9687582, 7.4415099)
St. Alban-Graben 16, 4051 Basel	(47.554288, 7.5940343)
St. Jakobs-Strasse 400, 4052 Basel	(47.5396705, 7.620621700000001)
St.Gallerstrasse 74, Wil	(47.4645671, 9.0649527)
Stade De Suisse Wankdorf, Nationalstadion AG, Papiermühlestrasse 71, Postfach 61, 3000 Bern 22	(46.9631123, 7.464874499999999)
Stadtturmstrasse 1	(47.47393599999999, 8.306786800000001)
Stadtturmstrasse 17, 5400 Baden	(47.47547309999999, 8.305713299999999)
Stauffacherstrasse 60; 8004, Zürich	(47.3754824, 8.527481600000002)
