,artist
1009,Benjamin Kieser
1010,Pirmin Huber
1011,Clemens Kuratle
1012,Nino Wenger
1013,Mischa Maurer
1014,Lukas Traxel
1015,Lukas von Flüe
1016,Nino Wenger
1017,Samuel Leipold
1018,Lukas Traxel
1019,Jessica Cabrales
1020,Elina Bächlin
1021,Julian Dillier
1022,Lobosch Grüter
1023,Carlo Menet
1024,The Lucky & Tamara Peterson Band
1025,Lucky Peterson
1026,Tamara Peterson
1027,Shawn Kellerman
1028,Tim Waites
1029,Raul Valdes
1030,Glantaler Power Men
1031,Rebecca Spiteri
1032,Jürg Ramspeck
1033,Joel Reiff
1034,Rolf Lyssy
1035,Radu Lupu
1036,Rocío Bolaños
1037,Linda Jankowska
1038,Emma Richards
1039,Alice Purton
1040,Kate Ledger
1041,Mathias Weibel
1042,Monika Baer
1043,Mario Huter
1044,Rafael Becerra
1045,Eva Nievergelt
1046,Annette Schmucki
1047,Martin Baschung
1048,Sandro Vanetti
1049,Jürg Amrein
1050,Imad Barnieh
1051,Ueli Berger
1052,Felix Müller
1053,Chaschper Kron
1054,Johny Lippuner
1055,Faruk Muslijevic
1056,Dragan Pijetlovic
1057,Rudy Pfister
1058,Thomas Tavano
1059,Andi Mötz
1060,Teesy
1061,support: Lot
1062,Zoot Woman
1063,Michael Arbenz
1064,Thomas Lähns
1065,Florian Arbenz
1066,Robi Weber
1067,Kalli Gerhards
1068,Curt Treier
1069,Patrick Bianco
1070,Cléber Alves
1071,Ricardo Fiúza
1072,Stephan Kurmann
1073,Fernando Paiva
1074,The Blue Van
1075,Anna Maria
1076,Annick Rody
1077,Camille Stoll
1078,Laurence Crevoisier
1079,Sara Oswald
1080,Motorama
1081,Lilly Thornton
1082,Frank Heinz
1083,Ull Möck
1084,German Klaiber
1085,Elmar Frey
1086,My TV Is Dead
1087,Rökkurro
1088,Moaning Cities
1089,Owen McCall
1090,Hansruedi  Fässler
1091,Kumath
1092,Chanaka
1093,Nimal
1094,Regina Domjan
1095,Daniel Zihlmann
1096,Robert Koller
1097,Anja Brezavscek
1098,Molly McDolan
1099,Christian Dierstein
1100,Nitrogods
1101,Guggevamps Überlingen
1102,Helmuth Luksch
1103,Julia Fischer
1104,Igor Levit
1105,Vanden Plas
1106,Volker Biesenbender
1107,Cock Sparrer
1108,Christoph Bösch
1109,Pilar Fontalba
1110,Toshiko Sakakibara
1111,Günter Wehinger
1112,Walter Jauslin
1113,Michael Chylewski
1114,Christoph Mohler
1115,Big Daddy Wilson
1116,Roberto Morbioli
1117,Cesare Nolli
1118,Paolo Legramandi
1119,Othella Dallas
1120,Alex Hendriksen
1121,Culcha Candela
1122,Pat Lämmle
1123,Chrigi Roffler
1124,Jürg Sidler
1125,Ben Zahler
1126,Thomas Baumgartner
1127,Fuzzgun
1128,The Capitols
1129,The Black Submarines
1130,Björn Meyer
1131,Simon Baumann
1132,Don Li
1133,DJs Bambounou
1134,French Fries
1135,live: Ryan Leslie
1136,Maja Oezmen
1137,Beat Oezmen
1138,Christian Mettler
1139,Chvrches
1140,Soak
1141,Grand Magus
1142,Audrey Horne
1143,Zodiac
1144,The Vintage Caravan
1145,Guru Ganesha Band
1146,Christina Landshamer
1147,Maximilian Schmitt
1148,Rudolf Rosen
1149,Leonard Chew
1150,Irène Weis
1151,Raymond Caduff
1152,Alice in Wonderland
1153,The Bellamy Brothers
1154,Silvan Schmid
1155,Seraphim von Werra
1156,Stevie Cochran
1157,Sara Maurer
1158,Yves Raeber
1159,Faun
1160,Ali Magomedov
1161,Svetlana Polyanskaya
1162,Franziska Andrea Heinzen
1163,Deathstars
1164,Jamie Clarke's Perfect
1165,The Moorings
1166,Beth Hart
1167,Hans-Jürg Rickenbacher
1168,Alexandre Beuchat
1169,Omri Ziegele
1170,Yves Theiler
1171,Robert Morgenthaler
1172,Urs Röllin
1173,Habib Koité
1174,Felix Trachsel
1175,Christoph Horlacher
1176,Chris Wiesendanger
1177,Dudu Penz
1178,Julio Barreto
1179,Antonio Marucci
1180,Claudia Kleiner
1181,Juan Adami
1182,Luciano Jungman
1183,Silvia Solari
1184,Phraseland
1185,Thomas Azier
1186,Lisa Arter
1187,Saskja Weilenmann
1188,Selina Beyeler
1189,Laura Küpfer
1190,Ndiigo
1191,Jacques Demierre
1192,Harald Kimmig
1193,Hans Koch
1194,Michel Seigner
1195,Alfred Zimmerlin
1196,Peter K Frey
1197,Daniel Studer
1198,Hans Söllner
1199,Contorsion
1200,Brett Newski
1201,Owen McGarry
1202,Trümmer
1203,Dermot Byrne & Floriane Blancke
1204,Clara Rose
1205,Tommy O'Sullivan & Meabh O'Hare & PJ King
1206,Fiddler's Green
1207,support: The Led Farmers
1208,The Möles
1209,Blaudzun
1210,Thierry Lüthy
1211,Markus Ischer
1212,
1213,Andi Schnellmann
1214,Manuel Pasquinelli
1215,Incite
1216,Demdike Stare
1217,Petting
1218,Oliver Töngi
1219,Bruno Spoerri
1220,Vali Mayer
1221,The Pharcyde
1222,Silke Eberhard
1223,Achim Escher
1224,Manuel Troller
1225,Gerry Hemingway
1226,Curtis Fuller Sextet
1227,Curtis Fuller
1228,Joshua Bruneau
1229,Ralph Reichert
1230,Rob Bargad
1231,Milan Nikolic
1232,Joris Dudli
1233,Sun of Moon
1234,Joy Frempong
1235,Flo Götte
1236,Domi Chansorn
1237,Lleluja-Ha
1238,Sophia Baltatzi
1239,Marianne Racine-Granvik
1240,Vera Kappeler
1241,Conan
1242,Barbara Zollinger-Widmer
1243,Annette-Caroline Schär
1244,Esther Pitschen Amekhchoune
1245,Martin Frutiger
