,artist,genres_spotify,genres_ra,main_genres,top3_genres,genre
586,Richard Lipiec,None,,,,
587,Martin Hugelshofer,None,,,,
588,Jean-Yves Petiot,None,,,,
589,Fernand Schlumpf,None,,,,
590,Miranda de Miguel,None,,,,
591,Nino Aurelio Gmünder,None,,,,
592,Maya Boog,None,,,,
593,Barbara Doll,None,,,,
594,Emanuel Rütsche,None,,,,
595,Jun Onaka,None,,,,
596,Luisella De Pietro,None,,,,
597,Violetta Radomirska,None,,,,
598,Beatrice Voellmy,None,,,,
599,Anne-May Krüger,None,,,,
600,Claudia Weissbarth,None,,,,
601,Nils Kohler,None,,,,
602,Dorothee Mields,"['choral', 'harpsichord']",,,,
603,Teo Gheorghiu,None,,,,
604,Martin Heini,None,,,,
605,Praxedis Genevieve Hug,None,,,,
606,Matthias Ziegler,None,,,,
607,Christoph Baumann,None,,,,
608,Reto Senn,None,,,,
609,Adamstown,None,,,,
