location,event,date,artists,genre,coordinates
Gränichen,Advent-Songs,2013-12-07,"[' Cornelius Schock ', ' Daniel Schwenger ']",Pop,"(47.3621015, 8.0980292)"
Dürnten,Herbstkonzerte,2013-12-07,[' Sabine Poyé Morel '],Classic,"(47.266564, 8.8505112)"
Winterthur,Hodie-Christus-natus-est,2013-12-07,[' José Vázquez '],Classic,"(47.49881959999999, 8.723688899999999)"
Dornach,Vom-Wesen-des-Musikalischen-II,2013-12-07,"['Julia Baumgartner ', ' Magdalena Kossmann ', ' Francesco Pellerino ', ' Sina Rumpe ', ' Johannes Greiner ']",Classic,"(47.4790491, 7.6170412)"
Bern,7-Jahre-Headbangersball-Bern,2013-12-07,['Placenta Powerfist '],,"(46.9479739, 7.447446800000001)"
Aarau,Aeternum-Musik-für-die-Ewigkeit,2013-12-07,[' Leitung und Werke von Helena Winkelman '],Classic,"(47.390434, 8.045701499999998)"
Burgdorf,Djinbala,2013-12-07,"['Andrea Milova ', ' David Cielbala ', ' Max Grossenbacher ', ' Daniel Spahni ']",,"(47.0559357, 7.627224299999999)"
Bubikon,Real-Christmas,2013-12-07,"['Jennifer Sarah Boone ', ' Julia Hagne ', ' Enyonam Dovlo ', ' Bianca Berndt ']",traditional,"(47.2682174, 8.819135600000001)"
Basel,Voices-of-Gospel,2013-12-07,['Prince Yelder & Disciples for Christ '],,"(47.55959860000001, 7.588576099999999)"
Basel,Es-wird-ein-Stern,2013-12-07,"['Cantabile Chor ', ' Carl Wolf ']",Classic,"(47.55959860000001, 7.588576099999999)"
Winterthur,Henri-Texier-Hope-Quartet,2013-12-07,"[' Sébastien Texier ', ' François Corneloup ', ' Henri Texier ', ' Louis Moutin ']",,"(47.49881959999999, 8.723688899999999)"
Sankt-Gallen,Popeye's-Gooda-Blues,2013-12-07,"[' Frank Sanazi ', ' Emanuele Urso Sextett ']",,"(47.4244818, 9.3767173)"
Bottmingen,Michael-Heitzler-und-sein-Klezmer-Quartett,2013-12-07,"[' Michael Heitzler ', ' Christian Gutfleisch ', ' Daniel Schay ', ' Michael Chylewsky ']",,"(47.5233885, 7.5723451)"
Solothurn,Grand-Cannon,2013-12-07,"[' Pfuri Baldenweg ', ' Zach Prather ', ' Kniri Knaus ']",,"(47.2088348, 7.532291)"
Les-Docks,Lausanne,2013-12-07,['BB Brunes '],,"(46.522407, 6.619252)"
