,place,src,address,location,canton,event,date,artists,genre,coordinates
9200,None,EventsCh,None,Sursee,LU,Stahlmann,2013-12-14,['Stahlmann'],rock,"(47.1714819, 8.1111312)"
9300,None,EventsCh,None,Bern,BE,Tuesday-Jam,2013-12-17,"['Daniel Woodtli', 'Oli Kuster', 'Philipp Moll', 'Fred Bürki']",,"(46.9479739, 7.4474468)"
9400,None,EventsCh,None,Burgdorf,BE,To-Go-Blues-and-More,2013-12-21,"['Lukas Fässler', 'Ralf Norgel', 'Marco Andrey', 'Marcel Riesen', 'Dominic Hauser']",,"(47.0559357, 7.6272243)"
9500,None,EventsCh,None,Zürich,ZH,Opera-Box-L'île-de-Tulipatan-&-Monsieur-Choufleury,2013-12-29,"['Andrea Suter', 'Chelsey Schill', 'Maja Hermann', 'Raimund Wiederkehr', 'Erich Bieri']",orchestral,"(47.3768866, 8.541694)"
9600,None,EventsCh,None,Zürich,ZH,Manuel-Delago,2014-01-07,"['Manuel Delago', 'Manuel Delago', 'Isa Kurz', 'Philipp Moll', 'Chris Norz']",,"(47.3768866, 8.541694)"
9700,None,EventsCh,None,Wetzikon,ZH,Christina-Martin,2014-01-11,['Christina Martin'],pop,"(47.3270602, 8.801356)"
9800,None,EventsCh,None,Lucerne,LU,Jam-Session,2014-01-16,['Richard Decker'],rock,"(47.0501682, 8.3093072)"
9900,None,EventsCh,None,Basel,BS,Jam-Session,2014-01-20,"['Ben Zahler', 'Annika Francke', 'Markus Schmied', 'Pau Lligadas', 'Florian Krause']",,"(47.5595986, 7.5885761)"
10000,None,EventsCh,None,Liestal,BL,Omri-Hason-Modus-Quartet,2014-01-24,"['Antonello Messina', 'Wege Wüthrich', 'Lorenz Beyeler', 'Omri Hason']",,"(47.4866143, 7.7334272)"
10100,None,EventsCh,None,Zürich,ZH,Dream-Theater,2014-01-27,['Dream Theater'],rock,"(47.3768866, 8.541694)"
10200,None,EventsCh,None,None,None,Vaduzer-Konzerte,2014-01-31,['Vilde Frang'],orchestral,"(46.6377269, 9.279877)"
10300,None,EventsCh,None,Zürich,ZH,Defeater,2014-02-03,['Defeater'],rock,"(47.3768866, 8.541694)"
10400,None,EventsCh,None,Lausanne,VD,Church-Of-Misery,2014-02-07,['Church Of Misery'],rock,"(46.5196535, 6.6322734)"
10500,None,EventsCh,None,Bern,BE,Klima-Kalima-feat.-Andreas-Schaerer,2014-02-12,"['Kalle Kalima', 'Andreas Schaerer', 'Or Potratz', 'Or Steidle']",,"(46.9479739, 7.4474468)"
10600,None,EventsCh,None,Zürich,ZH,Andrea-Manzoni-Trio,2014-02-15,"['Andrea Manzoni Trio', 'Andrea Manzoni', 'Luca Curcio', 'Andrea Beccaro']",pop,"(47.3768866, 8.541694)"
10700,None,EventsCh,None,Zürich,ZH,Internationales-Country-Music-Festival,2014-02-20,['Jo-El Sonnier & T. Graham Brown & Band'],,"(47.3768866, 8.541694)"
10800,None,EventsCh,None,Rorschach,SG,El-bachatazo-carnaval,2014-02-22,"['DJs Nando', ""Da'le""]",,"(47.4788825, 9.4916808)"
10900,None,EventsCh,None,Zürich,ZH,Konzert,2014-02-27,"['Sabine Poyé Morel', 'Simon Fuchs', 'Michael Reid', 'Matthias Rácz', 'Philippe Litzler']",orchestral,"(47.3768866, 8.541694)"
11000,None,EventsCh,None,Zürich,ZH,Darkside,2014-03-01,"['Darkside', 'Nicolas Jaar', 'Dave Harrington']",electronic,"(47.3768866, 8.541694)"
11100,None,EventsCh,None,Winterthur,ZH,Ein-Haydn-Spass,2014-03-06,['Cäcilia Chmel'],orchestral,"(47.4988196, 8.7236889)"
11200,None,EventsCh,None,Thun,BE,Angélique-Kidjo,2014-03-08,['Angélique Kidjo'],rock,"(46.7579868, 7.6279881)"
11300,None,EventsCh,None,Zürich,ZH,The-Exploding-Boy,2014-03-13,['The Exploding Boy'],rock,"(47.3768866, 8.541694)"
11400,None,EventsCh,None,Richterswil,ZH,Musique-en-route,2014-03-15,"['Ronny Spiegel', 'Tom Tafel', 'Kanna', 'Stefanie Hess', 'Ariel Rossi']",pop,"(47.2053892, 8.7070691)"
11500,None,EventsCh,None,Basel,BS,Zum-250.-Todesjahr-von-J.-P.-Rameau,2014-03-18,"['Ildikó Sajgó', 'Amélie Chemin', 'Cécile Mansuy']",orchestral,"(47.5595986, 7.5885761)"
11600,None,EventsCh,None,Zürich,ZH,Keller-Von-Orelli-Suter,2014-03-21,['The Gate'],rock,"(47.3768866, 8.541694)"
11700,None,EventsCh,None,Zürich,ZH,Yung-Lean-&-The-Sad-Boys,2014-03-23,['Yung Lean & The Sad Boys'],,"(47.3768866, 8.541694)"
11800,None,EventsCh,None,Lucerne,LU,Honky-Tonk-Festival,2014-03-28,['Lilly Martin'],,"(47.0501682, 8.3093072)"
11900,None,EventsCh,None,Winterthur,ZH,Vivid-Curls,2014-03-30,"['Irene Schindele', 'Inka Kuchler']",,"(47.4988196, 8.7236889)"
12000,None,EventsCh,None,Baden,AG,Los-Banditos,2014-04-04,['Los Banditos'],hip hop,"(47.47288, 8.30809)"
12100,None,EventsCh,None,Bourg-en-Lavaux,VD,Cully-Jazz,2014-04-08,"['David Murray Infinity Quartet feat. Saul Williams', 'David Murray', 'Saul Williams', 'Rod Williams', 'Jaribu Shahid', 'Nasheet Waits']",jazz,"(46.4895985, 6.7290888)"
12200,None,EventsCh,None,Zermatt,VS,Zermatt-Unplugged,2014-04-12,['Band of Horses'],pop,"(46.0207133, 7.749117)"
12300,None,EventsCh,None,Zürich,ZH,A-Cyclothymia-of-Songs,2014-04-22,"['Lander Gyselinck', 'Corinne Huber', 'Franziska Bruecker']",pop,"(47.3768866, 8.541694)"
12400,None,EventsCh,None,Zürich,ZH,Loco-Escrito,2014-04-25,['Loco Escrito'],,"(47.3768866, 8.541694)"
12500,None,EventsCh,None,Basel,BS,Jazzfestival-Basel,2014-04-29,"['Wolfgang Dauner', 'Dieter Ilg', 'Flo Dauner']",rock,"(47.5595986, 7.5885761)"
12600,None,EventsCh,None,Winterthur,ZH,The-Bare-Tunes,2014-05-02,"['Mace Mitchell', 'Tsering Purtag']",,"(47.4988196, 8.7236889)"
12700,None,EventsCh,None,Zürich,ZH,Konzert,2014-05-05,"['Maki Wiederkehr', 'Daniel Meller', 'Flurin Cuonz']",orchestral,"(47.3768866, 8.541694)"
12800,None,EventsCh,None,Basel,BS,Benefiz-Konzert-Klavierrezital,2014-05-09,['Josiane Kneuss'],orchestral,"(47.5595986, 7.5885761)"
12900,None,EventsCh,None,Basel,BS,El-calderón-afrolatino,2014-05-11,"['Alcides Toirac', 'Amik Guerra', 'Ohlê Gagneux', 'Jorge-Luís Gonzalez', 'Leonardo Salazar', 'Sebastien Gagneux', 'Lizandro Paredes', 'Jorge Leysan Demestre']",,"(47.5595986, 7.5885761)"
13000,None,EventsCh,None,Zürich,ZH,Dan-Wilde,2014-05-15,"['Dan Wilde', 'Tom Copson']",rock,"(47.3768866, 8.541694)"
13100,None,EventsCh,None,Zürich,ZH,Katharina-Busch,2014-05-17,"['Katharina Busch', 'Katharina Busch', 'Levin Deger', 'Thomas Hauser', 'Andre Bader']",pop,"(47.3768866, 8.541694)"
13200,None,EventsCh,None,Bern,BE,The-Creepshow,2014-05-20,['The Creepshow'],rock,"(46.9479739, 7.4474468)"
13300,None,EventsCh,None,Zürich,ZH,Frantz'-Joyce,2014-05-23,"['Peter K Frey', 'Jürg Gasser', 'Alex Huber', 'Jonas Labhart', 'Christian Weber']",electronic,"(47.3768866, 8.541694)"
13400,None,EventsCh,None,Zürich,ZH,Bernhoft,2014-05-25,['Bernhoft'],rock,"(47.3768866, 8.541694)"
13500,None,EventsCh,None,Therwil,BL,Europäisches-Jugendchor-Festival-Basel,2014-05-30,['Jugendchor Hamrahilö'],orchestral,"(47.4990611, 7.5532808)"
13600,None,EventsCh,None,Zürich,ZH,The-Natural-Dub-Cluster,2014-06-03,['The Natural Dub Cluster'],electronic,"(47.3768866, 8.541694)"
13700,None,EventsCh,None,Wädenswil,ZH,Les-Soeurs-Boulay,2014-06-06,['Les Soeurs Boulay'],folk,"(47.2296871, 8.6718189)"
13800,None,EventsCh,None,Basel,BS,Mittagskonzert,2014-06-11,['Csongor Szanto'],orchestral,"(47.5595986, 7.5885761)"
13900,None,EventsCh,None,None,None,Festi'neuch,2014-06-14,"['Snoop Dogg', 'Woodkid', 'Kery James', 'Thomas Azier', 'Carbon Airways', 'Mark Berube', 'After-Party mit Greem', 'Feadz']",pop,"(46.6377269, 9.279877)"
14000,None,EventsCh,None,Feuerthalen,ZH,Session-Club-Dimitri,2014-06-19,"[""Y'urs""]",pop,"(47.6885343, 8.6497285)"
14100,None,EventsCh,None,Zürich,ZH,Festspiele-Zürich-Kammermusik-Tag,2014-06-22,"['Andreas Janke', 'Peter McGuire', 'Katja Fuchs', 'Ewa Grzywna-Groblewska']",orchestral,"(47.3768866, 8.541694)"
14200,None,EventsCh,None,Baden,AG,Tune-Up,2014-06-27,"['Marc Reinhard', 'Sigi Nikitscher']",,"(47.47288, 8.30809)"
14300,None,EventsCh,None,Basel,BS,Zlang-Zlut,2014-07-03,"['Beat Schneider', 'Fran Lorkovic']",,"(47.5595986, 7.5885761)"
14400,None,EventsCh,None,Montreux,VD,Montreux-Jazz-Festival,2014-07-09,"['Goldfrapp', 'London Grammar']",pop,"(46.4312213, 6.9106799)"
14500,None,EventsCh,None,Montreux,VD,Montreux-Jazz-Festival,2014-07-15,"['Mavis Staples', 'Van Morrison']",r&b and soul,"(46.4312213, 6.9106799)"
14600,None,EventsCh,None,Basel,BS,20-Jahre-Bird's-Eye-Club,2014-07-20,"['Alex Hendriksen Quartet', 'Christoph Ràcz']",,"(47.5595986, 7.5885761)"
14700,None,EventsCh,None,Nyon,VD,Paléo-Festival,2014-07-25,"['Crew Peligrosos', 'Palenke Soultribe', 'Family Atlantica', 'Dorotop DJ Set']",rock,"(46.3832683, 6.2347852)"
14800,None,EventsCh,None,Zürich,ZH,Hooverphonic,2014-07-30,['Hooverphonic'],electronic,"(47.3768866, 8.541694)"
14900,None,EventsCh,None,St Moritz,GR,Festival-da-Jazz,2014-08-06,"['Mario Biondi', 'Mario Biondi', 'Claudio Filippini', 'Tommaso Scannapieco', 'Lorenzo Tucci']",r&b and soul,"(46.4907973, 9.8355079)"
15000,None,EventsCh,None,Zürich,ZH,Jenny-Chi,2014-08-13,"['Jenny Chi', 'André Siqueira', 'Thomas Silvestri', 'Ralph Sonderegger', 'Mauro Martins']",,"(47.3768866, 8.541694)"
15100,None,EventsCh,None,Winterthur,ZH,Winterthurer-Musikfestwochen,2014-08-19,['5 In Love'],jazz,"(47.4988196, 8.7236889)"
15200,None,EventsCh,None,Zürich,ZH,Sukarma,2014-08-24,['Sukarma'],,"(47.3768866, 8.541694)"
15300,None,EventsCh,None,Lucerne,LU,Alte-Musik-1,2014-08-30,"['Valer Sabadus', 'Axel Wolf']",orchestral,"(47.0501682, 8.3093072)"
15400,None,EventsCh,None,Basel,BS,Orgelspiel-zum-Feierabend,2014-09-05,['Max Sonnleitner'],orchestral,"(47.5595986, 7.5885761)"
15500,None,EventsCh,None,Winterthur,ZH,Hell-on-Earth-Tour,2014-09-08,"['Unearth', 'Shadows Fall', 'The Acacia Strain', 'War of Ages']",rock,"(47.4988196, 8.7236889)"
15600,None,EventsCh,None,Lucerne,LU,Piano-Entertainment,2014-09-13,['Mark Tenger'],pop,"(47.0501682, 8.3093072)"
