	['son']
Pino Buoro	None
Pistolero Pepe	None
Pit Furrer	None
Pius Baschnagel	None
Priska Zaugg	None
Pyro	['world', 'house']
Pädu Ziswiler	None
Queen Esther	None
R. Rütti	None
R.Romei	None
Rafael Schilt	None
Raffaele Bossard	None
Ragnarok	['metal', 'world', 'soul']
Rahel Kohler	None
Raimund Seidl	None
Rainer Apel	None
Rainer Hagmann	None
Rainer Schmidt	['world']
Raphael Christen	None
Raphael Felber	None
Raphael Jakob	None
Raphael Preuschl	None
Raphael Wallfisch	['classical']
Raphael Walser	None
Rea Claudia Kost	None
Rea Dubach	None
Rea Garvey	['rock', 'pop']
Rea Hunziker	None
Rebecca Spiteri	None
Redska	None
Redwan Fayahwan	None
Reggie Washington	None
Regula Gutierrez	None
Reinhold Friedrich	None
Reiny Schnyder	None
Renate Steinmann	None
Renaud Garcia-Fons	['flamenco']
René Grimm	None
René Marzolf	None
René Mosele	None
Res Hafner	None
Reto Burrell	None
Reto Giacopuzzi	None
Reto Langenegger	None
Reto Staub	None
Reto Suhner	None
RhythmTalk	None
Ricardo Mirabelli	None
Riccardo Minasi	['baroque']
Rich Fonje	None
Richard Pechota	None
Richard Pizzorno	None
Richard Walters	None
Richie Winkler	None
Rico Baumann	None
Rita Ékes	None
Ritzy Bryan	None
Rob Cambre	None
Rob Solomon	None
Robert Buri	None
Robert Crowe	None
Robert Koller	None
Robert Morgenthaler	None
Roberth Horvath	None
Roberto Plano	None
Robin Peter Müller	None
Roger Girod	None
Roger Nickl	None
Roger Zeller	None
Roland Heinz	None
Roland Meder	None
Roland Raphael	None
Rolando Garza	None
Rolf Breyer	None
Rolf Caflisch	None
Rolf Lyssy	None
Rolf Romei	None
Roli Kneubühler	None
Rolph Dreier	None
Roman Schmid	None
Ron Carter	['son']
Ron Marsman	None
Ron Pope	['rock', 'pop']
Ronnie Graupe	None
Ronny Graupe	None
Rossana Rossignoli	None
Rubio de Pruna	None
Ruedi Vögeli	None
Ruth Wäger	None
Ryszard Groblewski	None
Rémi Panossian	None
Sabine Poyé Morel	None
Sally Fortino	None
Sam Chapman	['world']
Sam Clayton	['rock', 'country', 'gospel', 'folk', 'blues', 'mambo']
Sam Siegenthaler	None
Sam Walton	['rock']
Samuel Dühsler	None
Samuel Fried	None
Samuel Joss	None
Samuel Jäggi	None
Samuel Mösching	None
Samuel Zünd	None
Samuele Sciancalepore	None
Sandra Merk	None
Sandra Rayne	None
Sandra Weiss	None
Sandro di Pisa	None
Sara Jovanovic	['rock', 'classical', 'pop']
Sarah Büchi	None
Sarah Wegener	None
Sarah Weilenmann	None
Sareena Overwater	None
Schmand	None
Scream Your Name	None
Scumbucket	None
Sebastian Ott	None
Sebastian Pietrowiak	None
Sebastian Studnitzky	None
Sergej Simbirev	None
Sergey Mushtakoff	None
Sergio Azzolini	['classical']
Severin Graf	None
Sezen Aksu	['pop']
Sha	['world']
Shady & The Vamp	None
Sidsel Endresen	['rock']
Silvan Hürlimann	None
Silvan Jeger	None
Silvan Loher	None
Silvan Schmid	None
Silvia Harnisch	None
Silvio Cadotsch	None
Simon Berz	None
Simon Borer	None
Simon Cathrein	None
Simon Crawford-Phillips	None
Simon Fuchs	None
Simon Heggendorn	None
Simon Iten	None
Simon Petermann	None
Simon Schellnegger	None
Simon Wirsch	None
Simone Hager	None
Simone Keller	['classical']
Simone Lustenberger	None
Simonetta Tancredi	None
Sin-City	None
Siro Müller	None
Skinny Lister	['punk', 'folk', 'rock', 'pop', 'noise']
Smalltown Casanovas	None
Sofa Surfers	['rock', 'dub']
Sofus Gleditsch	None
Solme Hong	None
Soner Tezcan	None
Sonoko Ogowa	None
Soo-Hyun Park	None
Sophie Chaillot	None
Sophie Lüssi	None
Spleen United	['rock', 'synthpop']
Stefan Aeby	None
Stefan Aegerter	None
Stefan Eberhard	None
Stefan Jaun	None
Stefan Keller	['classical']
Stefan Schramm	None
Stefan Zwicky	None
Stefanie Kunckler	None
Stefano Risso	None
Stephan Keller	None
Stephan Kurmann	None
Stephan Reinthaler	None
Stephan Wyss	None
Stephane Blanc	None
Stephane Payen	None
Steven Bernstein	None
Stranger Cole	['reggae', 'rocksteady', 'ska']
Strauss	['unknown', 'world', 'son']
Studnitzky	None
Sumina Studer	None
Sunghoon Simon Hwang	None
Susanna Hefti	None
Susanna Moncayo	None
Susanne Bretscher	None
Susanne Doll	None
Susanne Kern	None
Susanne Petersen	None
Svend Capol	None
Syberen van Munster	None
Système D	['rock', 'pop', 'baila']
Talco	['punk', 'banda', 'ska']
Tamar Halperin	['baroque']
Tang Xiaofeng	None
Tanja von Arx	None
Tatjana Nikic	None
Tellavision	None
Teodoro Anzellotti	None
Teresa Ríos	None
Terrible Feelings	None
Tevfik Kuyas	None
The Black Atlantic	['african']
The Black Magic Six	None
The Blackberry Brandies	None
The Busters	['reggae', 'pop', 'ska']
The Culture in Memoriam	None
The Great Hans Unstern Swindle	None
The Jancee Pornick Casino	None
