Estavayer le Lac	(46.8496401, 6.845060800000001)
Estavayer-le-Lac	(46.8496401, 6.845060800000001)
Estrich	(47.7294918, 9.7007727)
Etagnieres	(46.5998975, 6.612918500000001)
Ettingen	(47.4819119, 7.5448507)
Ettiswil	(47.1501373, 8.019181699999999)
Etziken	(47.1876571, 7.6484107)
Eulachhallen	(47.503324, 8.712069999999999)
Europaallee 33, 8004 Zürich	(47.378873, 8.5324118)
Europaallee 47, 8004 Zürich	(47.3789412, 8.5320211)
Europaplatz 1, 6005 Luzern	(47.05031959999999, 8.3118311)
Evian Les Bains	(46.401488, 6.590948999999999)
Exil	(47.38830369999999, 8.5193197)
Ey 5, 3063, Ittigen	(46.9744655, 7.471378399999999)
Ey 5A, 3063, Ittigen	(46.9742227, 7.4719859)
Fabrikstrasse 1, 4500, Solothurn	(47.2117871, 7.525155199999999)
Fabriktheater-(Rote-Fabrik)	(47.3435982, 8.535826)
Fahrwangen	(47.2946906, 8.2420267)
Fakt-Kunst-und-Musik	(47.548916, 7.587208800000001)
Falera	(46.8012412, 9.2304912)
Fallengässli, 9470, Buchs	(47.1626281, 9.4683342)
Fbg de l'Hôpital 16, 2000 Neuchâtel	(46.9925226, 6.9329246)
Feldbergstrasse 47, 4057 Basel	(47.5664158, 7.590774)
Feldbrunnen	(47.2206165, 7.555536699999999)
Feldeggstrasse 2, 8152 Glattbrugg, Zürich	(47.4337242, 8.5614247)
Festivalgelände	(47.334419, 8.8217017)
Festivalgelände-am-Rotten	None
Feuerthalen	(47.6885343, 8.6497285)
Fischenthal	(47.3311758, 8.9202247)
Fischingen	(47.4152394, 8.9692231)
Fischmarktplatz	(47.2255646, 8.8157674)
Fislisbach	(47.4387543, 8.291967099999999)
Flawil	(47.41337069999999, 9.1870297)
Flims-Dorf	(46.83652, 9.2845)
Flon, Côtes-de-Montbenon 13, Lausanne	(46.5215666, 6.6253514)
Flugplatzareal	(47.07921049999999, 9.066371799999999)
Flurlingen	(47.685357, 8.6294367)
Flösserstrasse 7, 5000, Aarau	(47.39440459999999, 8.0414508)
Flüelen	(46.900149, 8.6238894)
Fontaine	(-11.6653222, 27.4847982)
Forrlibuckstrasse 151, 8005, Zurich	(47.3919208, 8.5108544)
Frankenstrasse 6, 6003 Luzern	(47.0493135, 8.3083783)
Frankfurt Strasse 36, 4023, Basel	(47.53179859999999, 7.6075511)
Frankfurt-Strasse 36 4142 Münchenstein	(47.53179859999999, 7.6075511)
Frauenfeld	(47.5535997, 8.8987541)
Freienbach	(47.20641070000001, 8.7565933)
Freienstein	(47.5313791, 8.5851744)
Freilager-Platz 9, 4142 Münchenstein/Basel, CH	(47.532851, 7.610011999999998)
Frenkendorf	(47.5035123, 7.7131296)
Fri-Son	(46.79491549999999, 7.1518353)
Fribourg	(46.8064773, 7.161971899999999)
Friby-Hof	(47.2067985, 9.4549209)
Frick	(47.5085197, 8.0186727)
Friedaustrasse 23, 8003, Zürich	(47.3773913, 8.5108962)
Froburgstrasse 7, 4600 Olten	(47.351955, 7.903730500000001)
Frutigen	(46.5897805, 7.646887)
Färberstrasse 6, 8008, Zürich	(47.3616813, 8.5487674)
Förlibuckstrasse 180, 8005 Zürich	(47.39237379999999, 8.5102837)
Förrlibuckstrasse 109, 8005 Zürich	(47.3913726, 8.5125154)
Förrlibuckstrasse 109, 8005, Zurich	(47.3913726, 8.5125154)
Förrlibuckstrasse 110, 8005 Zürich	(47.3918, 8.5131722)
Förrlibuckstrasse 151, 8005, Zürich	(47.3919208, 8.5108544)
Füllinsdorf	(47.5055922, 7.7298829)
Galvanik	(47.1815066, 8.4841381)
Gampel	(46.3157745, 7.741944099999999)
Gams	(47.2039131, 9.441321799999999)
Gare-de-Lion	(47.4612831, 9.0326715)
Gare-du-Nord	(48.8809481, 2.3553137)
Gaswerk	(47.4945654, 8.7077457)
Gebenstorf	(47.4842267, 8.2419897)
Geissensteinring 14, 6005, Luzern	(47.0401015, 8.3104674)
Gelfingen	(47.2148578, 8.265497)
Gelterkinden	(47.4656125, 7.8560314)
Geneva	(46.2043907, 6.1431577)
Geneve	(46.2043907, 6.1431577)
Genfergasse 10, 3011 Bern	(46.949644, 7.441157)
Genfergasse 10, CH-3011 Bern	(46.9496475, 7.4411578)
Genthod	(46.2644048, 6.1546616)
Gerlafingen	(47.1707295, 7.5731416)
Geroldstrasse 17, 8005, Zürich	(47.3855032, 8.5195901)
Geroldstrasse 23, 8005 Zürich	(47.3858844, 8.5189617)
Geroldstrasse 35, 8005 Zürich	(47.3858201, 8.5181873)
