	[]
Moose Jackson	['jazz blues', 'jazz christmas', 'jump blues']
Mounawar	[]
Mélanie Adami	[]
Ménilmontant	[]
N.I.K.O	[]
Nasheet Waits	[]
Nat Su	['vocaloid']
Natascha Albash	[]
Neck Deep	['alternative emo', 'anthem emo', 'emo', 'pixie', 'pop punk', 'screamo']
Necros Christos	['black death', 'black thrash', 'voidgaze']
Negura Bunget	['atmospheric black metal', 'avantgarde metal', 'black metal', 'blackgaze', 'doom metal', 'folk metal', 'neofolk', 'pagan black metal', 'post-metal', 'slavic metal', 'symphonic black metal', 'viking metal', 'voidgaze']
Nelson Freiere	[]
Nena	['dance rock', 'europop', 'german pop', 'new romantic', 'new wave', 'new wave pop']
Nenad Kovacic	[]
Nici Struchen	[]
Nico Schulthess	[]
Nicolas Altstaedt	['deep cello']
Nicolas Jaar	['alternative dance', 'downtempo', 'electronic', 'indie r&b', 'indietronica', 'microhouse', 'minimal techno', 'new rave', 'trip hop']
Nicolas Stocker	[]
Nicolas Struchen	[]
Nicole Johänntgen	[]
Niklaus Kost	[]
Nils Mönkemeyer	[]
Norbert Brasser	[]
Norbert Pfammatter	[]
Ohlê Gagneux	[]
Oli Kehrli	[]
Oli Kuster	[]
Olivier Hutman	[]
Omri Hason	[]
Or Pellet	[]
Or Pellet Santos	[]
Or Potratz	[]
Or Steidle	[]
Orchestre Miniature In The Park	[]
Orphan Fairytale	['drone psych']
Oscar Feldman	[]
Ossific	[]
Pablo Kornfeld	[]
Pablo Menares	[]
Palenke Soultribe	['colombian rock', 'nu-cumbia']
Pamina Blum	[]
Panteros666	['destroy techno']
Paticia Samaniego	[]
Patrice Moret	[]
Patrick Bruel	['chanson', 'francoton', 'french pop']
Pau Lligadas	[]
Paul & Gabriel	[]
Paul Sikivie	[]
Penguins By Choice	[]
Pepe	['banda', 'grupera', 'latin', 'latin pop', 'mariachi', 'norteno', 'ranchera', 'regional mexican']
Peter Dahm	[]
Peter Gottstein	[]
Peter K Frey	[]
Peter McGuire	[]
Peter Meier	[]
Peter Schärli	[]
Peter Vögeli	[]
Petra Ackermann	[]
Petrit Ceku	['classical guitar']
Petter U. Johansen	[]
Pezzo	[]
Philipp Moll	[]
Philippe Litzler	[]
Pierre Favre	[]
Pilar Fontalba	[]
Prince Keman	[]
Puerta Sur	[]
Pär Näsbom	[]
Quique Sinesi	['folklore argentino']
R	['dance pop', 'dwn trap', 'hip hop', 'hip pop', 'pop', 'pop christmas', 'pop rap', 'r&b', 'rap', 'soul christmas', 'southern hip hop', 'urban contemporary']
Rafael Scheiwiller	[]
Rahel Binetti	[]
Rahel Sohn	[]
Raimund Wiederkehr	[]
Rainald Grebe	['kabarett', 'liedermacher']
Ralf Norgel	[]
Ralph Sonderegger	[]
Raly Scheuing	[]
Ramon Landolt	[]
Ramon Ziegler	[]
Rangleklods	['danish indie', 'danish pop']
Raphael	['funk', 'indie r&b', 'memphis soul', 'neo soul', 'r&b', 'soul', 'soul blues', 'urban contemporary']
Raphael Loher	[]
Raphael Wallfisch	['cello']
Rea Claudia Kost	[]
Rease Nydegger	[]
Rebecca Spiteri	[]
Regula Konrad	[]
Relentless	[]
Renate Scheurer	[]
René Oswald	[]
René Tanner	[]
Richard Decker	[]
Rico Baumann	[]
Rihanna	['dance pop', 'pop', 'pop christmas', 'r&b', 'soul christmas', 'urban contemporary']
Rob Cambre	[]
Robert Kubiszyn	[]
Roberto Koch	[]
Roby Lakatos	[]
Rod Williams	[]
Roger Glaus	[]
Rokia Traoré	['afrobeat', 'mande pop', 'new tribe', 'world']
Roland Sauter	[]
Rolf Lyssy	[]
Roman Groner	[]
Roman Nowka	[]
Ronny Spiegel	[]
Ruben Rodriguez	[]
Rudolf Bamert	[]
Rudy Rotta	['power blues-rock', 'texas blues']
Rupert Charlesworth	[]
Russell Malone	['deep jazz guitar', 'jazz christmas']
Ruth Killius	[]
Sabaton	['metal', 'power metal', 'swedish metal']
Sabine Ercklentz	[]
Sabine Erdmann	[]
Sabine Poyé Morel	[]
Saint Motel	['folk-pop', 'indie pop', 'indie poptimism', 'indietronica', 'la indie', 'shimmer pop']
Salome Buser	[]
Sam Burckhardt	[]
Samuel Castro Bastos	[]
Samuel Dühsler	[]
Sandra Weiss	[]
Sandro Heule	[]
Sandy Patton	[]
Sara Franchini	[]
Sarah Buechi	[]
Sascha Litschi	[]
Saskia Hein	[]
Saturnalia Temple	['black sludge']
Saul Williams	['abstract hip hop', 'alternative hip hop']
Schifer Schafer	[]
Schoolly D	['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap']
Scott Matthews	['chamber pop', 'indie folk']
Sebadoh	['alternative pop', 'alternative rock', 'anti-folk', 'dance-punk', 'dream pop', 'experimental rock', 'freak folk', 'gbvfi', 'grunge', 'indie rock', 'jangle pop', 'lo-fi', 'math rock', 'neo-psychedelic', 'noise pop', 'noise rock', 'post-hardcore', 'post-punk', 'power pop', 'shoegaze', 'slow core', 'space rock', 'twee pop', 'uk post-punk']
Sebastien Fulgido	[]
Sebastien Gagneux	[]
Selah Sue	['soul']
Selina Cuonz	[]
Serafina Rufer	[]
Seraina Perrenoud	[]
Seraphim von Werra	[]
Serenity	[]
Sergej Nakariakov	[]
Sergey Mushtakoff	[]
Sergey Starostin	[]
Serious Black	['neo classical metal', 'neo-trad metal']
Seung-Yeun Huh	[]
Severin Jenny	[]
Shadows Fall	['alternative metal', 'christian metal', 'groove metal', 'industrial metal', 'melodic death metal', 'melodic metalcore', 'metal', 'metalcore', 'nu metal', 'rap metal', 'rap rock']
Shantel & Bucovina Club Orkestar	[]
Sharon Prushansky	[]
Sigi Nikitscher	[]
Silcan Jeger	[]
Silla	['underground rap']
Silvan Schmid	[]
Silvia Jost	[]
Silviya Savova-Hartkamp	[]
Simon Berz	[]
Simon Borer	[]
Simon Boss	[]
Simon Fuchs	[]
Simon Vögeli	[]
Simone Keller	[]
Slayer	['alternative metal', 'death metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'rap metal', 'rap rock', 'rock', 'speed metal', 'thrash metal']
Snoop Dogg	['g funk', 'gangster rap', 'hip hop', 'pop christmas', 'pop rap', 'rap', 'southern hip hop', 'west coast rap']
Sonia Borisova	[]
Souls Revival	[]
Stahlmann	['medieval rock', 'neue deutsche harte']
Stefan Gabele	[]
Stefan Kahle	[]
Stefan Pavelka	[]
Stefan Schroff	[]
Stefanie Hess	[]
Stella Doufexis	[]
Stepe Diener	[]
Stephan Athanas	[]
Stephan Kurmann	[]
Stephan Thelen	[]
Stephanie Pfeffer	[]
Stevie Cochran	[]
Stray From The Path	['christian hardcore', 'death core', 'mathcore', 'melodic metalcore', 'metalcore', 'rap metal', 'screamo']
Stéphane Fromageot	[]
Suguru Ito	[]
Sukarma	[]
Sun-Young Nam	[]
Supanova Sound	[]
Sven Angelo Mindeci	[]
Tamar Halperin	[]
Tamriko Kordzaia	[]
Tar Queen	[]
Taras Berchtold	[]
Tausend Löwen unter Feinden	[]
The Acacia Strain	['christian hardcore', 'death core', 'djent', 'mathcore', 'melodic metalcore', 'metalcore', 'rap metal', 'screamo']
The Creepshow	['horror punk', 'psychobilly']
The Delta Saints	['alternative roots rock', 'electric blues', 'modern blues']
The Exploding Boy	['deep gothic post-punk']
The Gate	['christian alternative rock', 'christian hardcore', 'christian metal', 'christian rock', 'melodic metalcore', 'metalcore', 'post-screamo', 'screamo']
The Natural Dub Cluster	[]
The Outside Track	['celtic', 'irish folk', 'jig and reel']
The Pharcyde	['alternative hip hop', 'dirty south rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'turntablism', 'west coast rap']
Thilo Muster	[]
Thomas Azier	[]
Thomas Dürst	[]
Thomas Gasser	[]
Thomas Hauser	[]
Thomas Koran	[]
Thomas Michael Allen	[]
Thomas Silvestri	[]
Thomas Zehetmair	['violin']
Tinu Heiniger	[]
Tobias Preisig	[]
Tom Copson	[]
Tom Tafel	[]
Tomas Gallart	[]
Tommaso Scannapieco	[]
Toni Bechtold	[]
Tony Renold	[]
Toshiko Sakakibara	[]
Tracer	['deep melodic hard rock']
Truls Mork	['classical performance', 'orchestral', 'violin']
Tsering Purtag	[]
Unearth	['alternative metal', 'christian hardcore', 'christian metal', 'death core', 'groove metal', 'melodic death metal', 'melodic metalcore', 'metalcore', 'nu metal']
Urs Brunner	[]
Urs Höchle	[]
Urs Müller	[]
Urs Stirnimann	[]
Urs Vögeli	[]
Ursula Hauser	[]
Valentin von Fischer	[]
Valer Sabadus	[]
Valeria Zangger	[]
Valerio Zanolli	[]
Valery Sokolov	[]
Van Morrison	['album rock', 'blues-rock', 'classic rock', 'folk', 'folk rock', 'folk-pop', 'mellow gold', 'neo mellow', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'soul']
Vera Kappeler	[]
Verena Zauner	[]
Viktor Nyberg	[]
Vilde Frang	['classical performance', 'violin']
Vince Cherico	[]
Vincent Glanzmann	[]
Vincent Membrez	[]
Vincent Ruiz del Portal	[]
Vinícius Melo	[]
Vlad Weverbergh	[]
Volker Biesenbender	[]
WSTR	['alternative emo', 'anthem emo', 'pixie', 'pop punk']
Walter Baumgartner	[]
Walter Hotz	[]
War of Ages	['christian hardcore', 'christian metal', 'melodic metalcore', 'metalcore', 'screamo']
Warwick Richard	[]
Weak Fishes	[]
Wege Wüthrich	[]
Weird Omen	[]
Werner Ammann	[]
Werner Hasler	[]
Werner Siegenthaler	[]
Werner Van Mechelen	[]
Werner und Company	[]
Wintersleep	['canadian indie']
Withered Hand	['scottish rock']
Wolfgang Dauner	['kraut rock']
Wolfgang Zwiauer	[]
Woodkid	['chamber pop']
Woodpigeon	[]
Worldly Savages	[]
