,location,event,date,artists,genre,coordinates
1282,Sion,GUINNESS IRISH FESTIVAL,2014-08-08,[LE VENT DU NORD],,"(46.2331221, 7.360625999999999)"
1283,Geneve,MA GASH FESTIVAL,2014-08-09,[MA GASH INTL],,"(46.2043907, 6.1431577)"
1284,Pregny,PREGNY ALP FESTIVAL,2014-08-10,[LA BRANTE DE BERNEX],,"(46.2420331, 6.1435559)"
1285,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2014-08-11,[NAPALM DEATH],,"(46.1049798, 7.075533399999999)"
1286,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2014-08-12,[RED FANG],,"(46.1049798, 7.075533399999999)"
1287,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2014-08-13,[RED FANG],,"(46.1049798, 7.075533399999999)"
1288,Chene Bougeries,BIMBADABOUM FESTIVAL,2014-08-14,[SONIA GRIMM],,"(46.1983939, 6.1851258)"
1289,Le Locle,ROCK ALTITUDE,2014-08-15,[DOWN],,"(47.0577195, 6.7487354)"
1290,Le Locle,ROCK ALTITUDE,2014-08-16,[MORCHEEBA],,"(47.0577195, 6.7487354)"
1291,Chene Bougeries,BIMBADABOUM FESTIVAL,2014-08-17,[HENRI DES],,"(46.1983939, 6.1851258)"
1292,Pully,PULLY FOR NOISE,2014-08-21,[ANNA AARON],,"(46.5092681, 6.6654949)"
1293,Pully,PULLY FOR NOISE,2014-08-22,[JEAN LOUIS MURAT],,"(46.5092681, 6.6654949)"
1294,Pully,PULLY FOR NOISE,2014-08-23,[THURSTON MOORE (SONIC YOUTH)],,"(46.5092681, 6.6654949)"
1295,Montreux,SEPTEMBRE MUSICAL,2014-08-28,[ALISA WEILERSTEIN],,"(46.4312213, 6.9106799)"
1296,Montreux,SEPTEMBRE MUSICAL,2014-08-29,[RUSSIAN NATIONAL ORCHESTRA],,"(46.4312213, 6.9106799)"
1297,Montreux,SEPTEMBRE MUSICAL,2014-08-30,[RUSSIAN NATIONAL ORCHESTRA],,"(46.4312213, 6.9106799)"
