,location,event,date,artists
242,Sierre,SISMICS FESTIVAL,2008-05-22,[DORIAN GRAY (METAL)]
243,Sierre,SISMICS FESTIVAL,2008-05-23,[KOCANI ORKESTAR]
244,Sierre,SISMICS FESTIVAL,2008-05-24,[BLACK HOLE]
245,Geneve,MUSIQUES METISSES A GENEVE,2008-05-25,[BADENYA LES FRERES COULIBALY]
246,Duedingen,BAD BONN KILBI,2008-05-29,[BLACK MOUNTAIN]
247,Neuchatel,FESTI NEUCH,2008-05-30,[BOYS NOIZE]
248,Neuchatel,FESTI NEUCH,2008-05-31,[THE STREETS]
249,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2008-06-01,[ROBERTO AUSSEL]
250,Pully,PULLY A L'HEURE DU QUEBEC,2008-06-03,"[CHARLES DUBE, ERIC BELANGER]"
251,Pully,PULLY A L'HEURE DU QUEBEC,2008-06-04,"[DAMIEN ROBITAILLE, CAROLINE D'ETE]"
252,Pully,PULLY A L'HEURE DU QUEBEC,2008-06-05,"[STEPHANE COTE, YVES SAVARD]"
253,Pully,PULLY A L'HEURE DU QUEBEC,2008-06-06,"[VINCENT VALLIERES, MARIO BRASSARD]"
254,Pully,PULLY A L'HEURE DU QUEBEC,2008-06-07,[SUROIT]
255,Interlaken,GREENFIELD,2008-06-13,[APOCALYPTICA]
256,Interlaken,GREENFIELD,2008-06-14,[OCEANSIZE]
257,Interlaken,GREENFIELD,2008-06-15,[BIFFY CLYRO]
258,Bienne,SWISS PRIDE,2008-06-21,"[CATHERINE D'OEX, MANDRAX]"
259,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2008-06-27,[JAZZANOVA]
260,Geneve,VILLAGE TROPICAL,2008-07-03,[RUMBA STEREO]
261,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-04,"[N.E.R.D., CANSEI DE SER SEXY (CSS)]"
262,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-05,"[JOE JACKSON, ASHER SELECTOR]"
263,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-06,"[JOAN BAEZ, CAMILLE]"
264,Geneve,MUSIQUES EN ETE,2008-07-07,[DIDIER LOCKWOOD]
265,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-08,"[LEONARD COHEN, M.I.A (MIA)]"
266,Geneve,MUSIQUES EN ETE,2008-07-09,[HOCUS POCUS]
267,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-10,"[TRAVIS, GOSSIP]"
268,Geneve,MUSIQUES EN ETE,2008-07-11,[BEN'S BROTHER]
269,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-12,"[GILBERTO GIL, MARK RONSON]"
270,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-13,"[CHAKA KHAN, MILTON NASCIMENTO]"
271,Geneve,MUSIQUES EN ETE,2008-07-14,[THE NEW YORK VOICES]
272,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-15,"[NIELS LANDGREN, BABYSHAMBLES]"
273,Geneve,MUSIQUES EN ETE,2008-07-16,[FRERES GUISSE]
274,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-17,"[ALICIA KEYS, KATIE MELUA]"
275,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-18,"[CHICK COREA, EUGENIO BENNATO]"
276,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-19,"[DEEP PURPLE, PETE ROCK]"
277,Zurich,LIVE AT SUNSET,2008-07-20,[BEN HARPER & THE INNOCENT CRIMINALS]
278,Geneve,MUSIQUES EN ETE,2008-07-21,[RAUL DE SOUZA]
279,Nyon,PALEO FESTIVAL,2008-07-22,[BB BRUNES]
280,Nyon,PALEO FESTIVAL,2008-07-23,[BONDE DO ROLE]
281,Alterswil,STONE HILL,2008-07-24,[BREITBILD]
282,Alterswil,STONE HILL,2008-07-25,[VIVE LA FETE]
283,Alterswil,STONE HILL,2008-07-26,[ISLANDS]
284,Nyon,PALEO FESTIVAL,2008-07-27,[ORQUESTRA DO FUBA]
285,Geneve,MUSIQUES EN ETE,2008-07-28,[GIANNI BASSO]
286,Geneve,MUSIQUES EN ETE,2008-07-30,[TROUBLE SHOOTIN]
287,Geneve,VILLAGE TROPICAL,2008-07-31,[RUMBA STEREO]
288,Geneve,VILLAGE TROPICAL,2008-08-01,[RUMBA STEREO]
289,Geneve,VILLAGE TROPICAL,2008-08-02,[RUMBA STEREO]
290,Geneve,VILLAGE TROPICAL,2008-08-04,[MOSQUITO SALSA CLUB]
291,Geneve,MUSIQUES EN ETE,2008-08-06,[MOUSS  & HAKIM]
292,Porrentruy,ROCK AIR PORRENTRUY,2008-08-07,[ALOAN]
293,Geneve,VILLAGE TROPICAL,2008-08-08,[EL PIQUETE]
294,Geneve,VILLAGE TROPICAL,2008-08-09,[RUMBA STEREO]
295,Geneve,VILLAGE TROPICAL,2008-08-10,[GRES UNIDO DE GENEVE]
296,Geneve,MUSIQUES EN ETE,2008-08-11,[RANDY BRECKER]
297,Geneve,MUSIQUES EN ETE,2008-08-13,[HELL'S KITCHEN]
298,Gampel,OPEN AIR DE GAMPEL,2008-08-14,[DIE FANTASTISCHEN VIER]
299,Gampel,OPEN AIR DE GAMPEL,2008-08-15,[OOMPH]
300,Gampel,OPEN AIR DE GAMPEL,2008-08-16,[THE LOCOS]
301,Gampel,OPEN AIR DE GAMPEL,2008-08-17,[ZURI WEST]
302,Geneve,MUSIQUES EN ETE,2008-08-20,[ALOAN]
303,Le Locle,ROCK ALTITUDE,2008-08-22,[ENTOMBED A.D.]
304,Le Locle,ROCK ALTITUDE,2008-08-23,[FAT NO BRAIN]
305,Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2008-08-29,[QUATUOR CALIENTE]
306,Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2008-08-30,[QUATUOR CALIENTE]
307,Geneve,FESTIVAL DE LA BATIE,2008-08-31,[LULUXPO]
308,Geneve,FESTIVAL DE LA BATIE,2008-09-02,[RADIOCLIT]
309,Geneve,FESTIVAL DE LA BATIE,2008-09-03,"[SCHTARNE 5I, ADAM KESHER, POLA]"
310,Geneve,FESTIVAL DE LA BATIE,2008-09-05,[SOKO]
311,Geneve,FESTIVAL DE LA BATIE,2008-09-06,[RAINER TRUBY]
312,Geneve,FESTIVAL DE LA BATIE,2008-09-07,[KID CHOCOLAT]
313,Geneve,FESTIVAL DE LA BATIE,2008-09-09,[FAUST]
314,Geneve,FESTIVAL DE LA BATIE,2008-09-10,"[LOVE MOTEL, MINUS 8]"
