,location,event,date,artists
926,Geneve,MUSIQUES EN ETE,2012-07-09,[STEFON HARRIS]
927,Geneve,MUSIQUES EN ETE,2012-07-10,[OPERA DE CHAMBRE DE GENEVE]
928,Geneve,MUSIQUES EN ETE,2012-07-11,[EL GUSTO]
929,Locarno,MOON AND STARS,2012-07-12,[ELTON JOHN]
930,Geneve,MUSIQUES EN ETE,2012-07-13,[YVES JAMAIT]
931,Locarno,MOON AND STARS,2012-07-14,[LAURA PAUSINI]
932,Geneve,MUSIQUES EN ETE,2012-07-15,[WEST EASTERN DIVAN ORCHESTRA]
933,Geneve,MUSIQUES EN ETE,2012-07-16,[BENNY GOLSON]
934,Nyon,PALEO FESTIVAL,2012-07-17,[MANU CHAO LA VENTURA]
935,Nyon,PALEO FESTIVAL,2012-07-18,[THE CURE]
936,Nyon,PALEO FESTIVAL,2012-07-19,[STING]
937,Nyon,PALEO FESTIVAL,2012-07-20,[LENNY KRAVITZ]
938,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2012-07-21,[FRANCOIS XAVIER POIZAT]
939,Nyon,PALEO FESTIVAL,2012-07-22,[DAVID GUETTA]
940,Geneve,MUSIQUES EN ETE,2012-07-23,[ELIANE ELIAS]
941,Geneve,MUSIQUES EN ETE,2012-07-24,[XAVIER DE MAISTRE]
942,Geneve,MUSIQUES EN ETE,2012-07-25,[GRAND PIANORAMAX]
943,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2012-07-26,[NADEGE ROCHAT]
944,Etziken,OPENAIR ETZIKEN,2012-07-27,[THE DELILAHS]
945,Etziken,OPENAIR ETZIKEN,2012-07-28,[BASTIAN BAKER]
946,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2012-07-29,[QUATUOR AVIV]
947,Geneve,MUSIQUES EN ETE,2012-07-30,[DAVE HOLLAND]
948,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2012-07-31,[ARC IRIS]
949,Geneve,FETES DE GENEVE,2012-08-01,[CISCO HERZHAFT]
950,Porrentruy,ROCK AIR PORRENTRUY,2012-08-02,[KILLBODY TUNING]
951,Porrentruy,ROCK AIR PORRENTRUY,2012-08-03,[HEADCHARGER]
952,Porrentruy,ROCK AIR PORRENTRUY,2012-08-04,[MADJIVE]
953,Porrentruy,ROCK AIR PORRENTRUY,2012-08-05,[GIRLS IN THE KITCHEN]
954,Geneve,MUSIQUES EN ETE,2012-08-06,[JESSE DAVIS]
955,Geneve,MUSIQUES EN ETE,2012-08-07,[QUATUOR MODIGLIANI]
956,Geneve,MUSIQUES EN ETE,2012-08-08,[TARRUS RILEY]
957,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2012-08-09,[DJ DAISY  aka MANDRAGORE]
958,Yvoire,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2012-08-10,[FRANCOISE CHOVEAUX]
959,Zurich,STREET BASS FESTIVAL,2012-08-11,[FEED ME]
960,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2012-08-12,[KYRILL RYBAKOV]
961,Geneve,MUSIQUES EN ETE,2012-08-14,[CUARTETO CASALS]
962,Geneve,MUSIQUES EN ETE,2012-08-15,[GYPSY SOUND SYSTEM]
963,Le Locle,ROCK ALTITUDE,2012-08-16,[NADA SURF]
964,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-17,"[SAXITUDE, RED HOT SERENADERS, JACKY MILLIET, FRANK SALIS, SEPTETO NACIONAL]"
965,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-18,"[SAXITUDE, QUATUORGANIC, MARCO MARCHI & THE MOJO WORKERS, NICOLE HERZOG, JEAN PHILIPPE SCALI]"
966,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2012-08-19,[ORCHESTRE DE LA SUISSE ROMANDE]
967,Geneve,MUSIQUES EN ETE,2012-08-22,[SMOD]
968,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-24,"[L'CHAIM, ROGER ROBERT & BOOGIE PIANO, CHARLIE MORRIS, SONYA PINCON, PG PROJECT JAZZ]"
969,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-25,"[L'CHAIM, JABASWING, LA STRAPATA, FLAVIO BOLTRO, MZ DEE]"
970,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-26,[THE BIG EASY]
971,Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2012-08-27,[YUJA WANG]
972,Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2012-08-29,[MURRAY PERAHIA]
973,Montreux,SEPTEMBRE MUSICAL,2012-08-30,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES]
974,Montreux,SEPTEMBRE MUSICAL,2012-08-31,[ROYAL PHILHARMONIC ORCHESTRA BRASS ENSEMBLE]
975,Montreux,SEPTEMBRE MUSICAL,2012-09-01,[THE LONDON PHILHARMONIC ORCHESTRA]
976,Montreux,SEPTEMBRE MUSICAL,2012-09-02,[THE LONDON PHILHARMONIC ORCHESTRA]
977,Veytaux,SEPTEMBRE MUSICAL,2012-09-03,[QUATUOR TANA]
978,Montreux,SEPTEMBRE MUSICAL,2012-09-04,[ORCHESTRE PHILHARMONIQUE DE SAINT PETERSBOURG]
979,Veytaux,SEPTEMBRE MUSICAL,2012-09-05,[SERGEY MALOV]
980,Veytaux,SEPTEMBRE MUSICAL,2012-09-06,[ALINA POGOSTKINA]
981,Villars,VILLARS DE VIVRE,2012-09-07,"[PIAZZOLLA, 4 SAISONS DE TANGO (ART EN CIEL), FREDERIC RECROSIO, MONTREUX (Tribute to Freddie Mercury)]"
982,Villars,VILLARS DE VIVRE,2012-09-08,"[VILLARS VANGUARD  JAZZ ORCHESTRA, THE EIGHT KILLERS (BLUES BROTHERS SHOW), LIFRE CHANGE]"
983,Villars,VILLARS DE VIVRE,2012-09-09,"[SONIA GRIMM, MACADAM JAZZ BAND, ANDREAS VENTOURAS, SWISS COMEDY CLUB]"
984,Geneve,FESTIVAL DE LA BATIE,2012-09-10,[ONEOHTRIX POINT NEVER /OPN]
985,Vevey,SEPTEMBRE MUSICAL,2012-09-11,"[OPERA STUDIO DE GENEVE, OPERA STUDIO DE GENEVE]"
986,Geneve,FESTIVAL DE LA BATIE,2012-09-12,[MAXENCE CYRIN]
987,Geneve,FESTIVAL DE LA BATIE,2012-09-13,[WOODKID]
988,Carouge,FESTIVAL DE LA BATIE,2012-09-14,[VVOLVES]
989,Geneve,FESTIVAL DE LA BATIE,2012-09-15,"[DJ OOF, RUDY DECELIERE]"
990,Zurich,CHANSONS EN STOK,2012-09-18,[TITI ZARO]
991,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2012-09-19,[MAJA RATKJE]
992,Zurich,CHANSONS EN STOK,2012-09-20,[PIERRE LAUTOMNE]
993,Zurich,CHANSONS EN STOK,2012-09-21,"[LES CHERCHEURS D'OR, JULIE AUBE]"
994,Zurich,CHANSONS EN STOK,2012-09-22,[GINKGOA]
995,Zurich,CHANSONS EN STOK,2012-09-23,[MORAN]
996,Zurich,THIS IS TIGERR,2012-09-24,"[REN HARVIEU, BLAUDZUN]"
997,Zurich,THIS IS TIGERR,2012-09-25,"[WE WERE EVERGREEN, SAINT MICHEL, TOY, BEN CAPLAN AND THE CASUAL SMOKERS]"
998,Zurich,THIS IS TIGERR,2012-09-26,"[CAANDIDES, BENJAMIN FRANCIS LEFTWICH]"
999,Zurich,THIS IS TIGERR,2012-09-27,"[GREAT MOUNTAIN FIRE, CLARA LUZIA]"
1000,Geneve,THIS IS TIGERR,2012-09-29,[RUDIMENTAL]
1001,Soleure,INSANE FESTIVAL,2012-10-04,[WE LOVE MACHINES]
1002,Sion,JAZZCONTREBAND,2012-10-05,[L'IRONIE DU SON]
1003,Thonon Les Bains,JAZZCONTREBAND,2012-10-06,[IBRAHIM MAALOUF]
1004,Yverdon Les Bains,JAZZCONTREBAND,2012-10-07,[MARC PERRENOUD]
1005,Annecy,JAZZCONTREBAND,2012-10-10,[GAUTHIER TOUX]
1006,Onex,JAZZCONTREBAND,2012-10-11,[FLORIN NICULESCU]
1007,Vevey,ROCK N ORGE,2012-10-12,[LA RENARDE]
1008,Vevey,ROCK N ORGE,2012-10-13,[REBEL FEST]
1009,Geneve,JAZZCONTREBAND,2012-10-15,[PATRICIA TONDREAU]
1010,Seynod,JAZZCONTREBAND,2012-10-16,[MARC DUCRET]
1011,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2012-10-17,[YAN JUN]
1012,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2012-10-18,[GILLES AUBRY]
1013,Divonne Les Bains,JAZZCONTREBAND,2012-10-19,[TRIO JOUBRAN]
1014,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2012-10-20,[OI POLLOI]
1015,Annemasse,JAZZCONTREBAND,2012-10-23,[MARCUS MILLER]
1016,Nyon,NYON'S ON FIRE,2012-10-26,[AS THEY BURN]
1017,Nyon,NYON'S ON FIRE,2012-10-27,[PUNISH YOURSELF]
1018,Lausanne,JAZZ ONZE +,2012-10-31,[JOE LOVANO]
1019,Lausanne,JAZZ ONZE +,2012-11-01,"[DAVE LIEBMAN, FAUVE]"
1020,Lausanne,JAZZ ONZE +,2012-11-02,"[PIERRE LUC VALLET, DIRECTION SURVET]"
1021,Montreux,MONTREUX JAZZ FESTIVAL,2012-11-03,[MAURANE]
1022,Lausanne,JAZZ ONZE +,2012-11-04,[SAMUEL HUGUENIN]
1023,Lausanne,METROPOP FESTIVAL,2012-11-08,[WAX TAILOR]
1024,Fontaine,TRANSVOISINES,2012-11-09,[MODERN FOLKS]
1025,Carouge,TRANSVOISINES,2012-11-10,[BROADWAY / B R OAD WAY]
1026,Bern,HEARTLAND,2012-11-15,[ELFIN SADDLE]
1027,Bern,HEARTLAND,2012-11-16,[GODSPEED YOU ! BLACK EMPEROR]
1028,Paris,HEARTLAND,2012-11-17,[DO MAKE SAY THINK]
1029,Paris,HEARTLAND,2012-11-18,[THEE SILVER MT ZION MEMORIAL]
1030,Bern,FESTIVAL SAINT GHETTO,2012-11-22,[DAVID MARANHA (OSSO EXOTICO)]
1031,Bern,FESTIVAL SAINT GHETTO,2012-11-24,[TUXEDOMOON]
1032,Geneve,TAMBOUR BATTANT FESTIVAL,2012-11-28,[LIMANIYA]
1033,Geneve,TAMBOUR BATTANT FESTIVAL,2012-11-29,[SIDI TOURE]
1034,Geneve,TAMBOUR BATTANT FESTIVAL,2012-11-30,[PIE TSHIBANDA]
1035,Geneve,TAMBOUR BATTANT FESTIVAL,2012-12-01,[MOKOBE]
1036,Geneve,TAMBOUR BATTANT FESTIVAL,2012-12-02,[CORALIA RODRIGUEZ]
1037,Geneve,TAMBOUR BATTANT FESTIVAL,2012-12-08,[PEDRO KOUYATE]
1038,Geneve,PRESENCES ELECTRONIQUES A GENEVE,2013-01-11,"[SPEEDY J, MORITZ VON OSWALD]"
1039,Geneve,PRESENCES ELECTRONIQUES A GENEVE,2013-01-12,"[AUTOKRATZ, EMIKA]"
1040,Meyrin,ANTIGEL,2013-01-26,[PEACHES]
1041,Meyrin,ANTIGEL,2013-01-27,[LULUXPO]
1042,Confignon,ANTIGEL,2013-01-28,[POLE]
1043,Geneve,ANTIGEL,2013-01-29,[MATTHEW E. WHITE]
1044,Pregny,ANTIGEL,2013-01-31,[EMILY WELLS]
1045,Meyrin,ANTIGEL,2013-02-02,[SIMONE WHITE]
1046,Le Lignon,ANTIGEL,2013-02-03,[MAMA ROSIN]
1047,Confignon,ANTIGEL,2013-02-04,[BERNHARD FLEISCHMANN]
1048,Meyrin,ANTIGEL,2013-02-05,[LULUXPO]
1049,Veyrier,ANTIGEL,2013-02-06,[LIZ GREEN]
1050,Perly-Certoux,ANTIGEL,2013-02-07,[BARBOUZE DE CHEZ FIOR]
1051,Plan les Ouates,ANTIGEL,2013-02-08,[MARC RIBOT]
1052,Les Acacias,ANTIGEL,2013-02-09,[KODE 9]
1053,Vandoeuvres sur Gen̬ve,ANTIGEL,2013-02-10,[HAUSCHKA]
1054,Geneve,LES TRAVERSES MUSICALES,2013-02-22,[BROUSSAI]
1055,Geneve,LES TRAVERSES MUSICALES,2013-02-23,[SUMO]
1056,Veytaux,INFERNO,2013-03-14,[WARDRUNA]
1057,Lausanne,INFERNO,2013-03-15,[SAMAEL]
1058,Lausanne,INFERNO,2013-03-16,[DARK FUNERAL]
1059,Lausanne,THIS IS TIGERR,2013-03-22,[EGYPTIAN HIP HOP]
1060,Lausanne,MOTION OPENAIR,2013-03-29,[MOSIMANN]
1061,Lausanne,MOTION OPENAIR,2013-03-30,[JUSTICE]
1062,Lausanne,MOTION OPENAIR,2013-03-31,[HARDWELL]
1063,Bale (Basel),SONIC,2013-04-27,[DJ PURE]
1064,Lausanne,BALELEC,2013-05-03,[NETSKY]
1065,Bulle,FRANCOMANIAS,2013-05-07,[JACQUES HIGELIN]
1066,Geneve,MAPPING FESTIVAL,2013-05-08,"[ROCKWELL, LEGOWELT]"
1067,Geneve,MAPPING FESTIVAL,2013-05-09,"[YI PING YANG, ALEX SMOKE]"
1068,Geneve,MAPPING FESTIVAL,2013-05-10,"[GANGPOL & MIT ""RADIO MINUS SOUND SYSTEM"", KANGDING RAY, PANGAEA]"
1069,Geneve,MAPPING FESTIVAL,2013-05-11,[SONJA MOONEAR]
1070,La Chaux du Milieu,CORBAK,2013-05-15,[ERIK TRUFFAZ]
1071,La Chaux du Milieu,CORBAK,2013-05-16,[MAIA VIDAL]
1072,Yverdon Les Bains,SWISS PSYCH FEST,2013-05-17,[THE FORKS]
1073,Yverdon Les Bains,SWISS PSYCH FEST,2013-05-18,[THE BLACK WILLOWS]
1074,Winterthur,AFRO - PFINGSTEN,2013-05-19,"[ACOUSTIC AFRICA, SALIF KEITA]"
1075,Duedingen,BAD BONN KILBI,2013-05-23,[MY BLOODY VALENTINE]
1076,Lausanne,BALEINEV,2013-05-24,[BALTHAZAR]
1077,Duedingen,BAD BONN KILBI,2013-05-25,[SPECK]
1078,Sierre,SISMICS FESTIVAL,2013-05-29,[EMILIE BOURGEOIS & TRIO POP CORDES]
1079,Sierre,SISMICS FESTIVAL,2013-05-30,[DJ UNSEEN]
1080,Sierre,SISMICS FESTIVAL,2013-05-31,[SOLA KAMBA]
1081,Sierre,SISMICS FESTIVAL,2013-06-01,[EMILIE VUISSOZ AKA SORCIERE BLANCHE]
1082,Fribourg,FESTIVAL INTERNATIONAL DU LIED,2013-06-02,[MICHAEL SCHADE]
1083,Pully,FESTIVAL'ENTRE2,2013-06-05,"[GAETAN, PIERROT LE FOU, JULIANAH]"
1084,Pully,FESTIVAL'ENTRE2,2013-06-06,"[PIERRE LAUTOMNE, LUDIANE PIVOINE, KIF KIF]"
1085,Pully,FESTIVAL'ENTRE2,2013-06-07,"[CARROUSEL, SORAYA KSONTINI]"
1086,Delle,PORRENTRUY-DELLE JAZZ FESTIVAL,2013-06-08,[ERIC SOUM]
1087,Pully,FESTIVAL'ENTRE2,2013-06-09,[JO / JOSE METTRAUX]
1088,Interlaken,GREENFIELD,2013-06-13,[RAMMSTEIN]
1089,Murten,STARS OF SOUNDS,2013-06-14,[KROKUS]
1090,Murten,STARS OF SOUNDS,2013-06-15,[BASTIAN BAKER]
1091,Bad Ragaz,QUELLROCK,2013-06-21,[THE BASEBALLS]
1092,Bad Ragaz,QUELLROCK,2013-06-22,[PEACOCKS]
1093,Cully,LAVAUX CLASSIQUE,2013-06-23,"[ENSEMBLE CONTEMPORAIN DU CONSERVATOIRE DE LAUSANNE, GERARD WYSS, QUATUOR TERPSYCORDES]"
1094,Cully,LAVAUX CLASSIQUE,2013-06-25,[NIKOLAI LUGANSKY]
1095,Cully,LAVAUX CLASSIQUE,2013-06-26,[JULIUS DRAKE]
1096,Saint Gallen,OPEN AIR DE SAINT GALLEN,2013-06-27,[ROYAL REPUBLIC]
1097,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2013-06-28,[THEO PARRISH]
1098,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2013-06-29,[AZAXX (DJ)]
1099,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2013-06-30,[JUKEBOX CHAMPIONS]
1100,Geneve,MUSIQUES EN ETE,2013-07-04,[ORCHESTRE DE LA SUISSE ROMANDE]
1101,Zurich,TOUCH THE LAKE,2013-07-05,[ONYX]
1102,Zurich,TOUCH THE LAKE,2013-07-06,[SNOWGOONS]
1103,Zurich,TOUCH THE LAKE,2013-07-07,[STEFF LA CHEFFE]
1104,Geneve,MUSIQUES EN ETE,2013-07-08,[TOM HARRELL]
1105,Geneve,MUSIQUES EN ETE,2013-07-09,[OPERA DE CHAMBRE DE GENEVE]
1106,Geneve,MUSIQUES EN ETE,2013-07-10,[SANDRA NKAKE]
1107,Geneve,MUSIQUES EN ETE,2013-07-11,[QUATUOR ARDEO]
1108,Aarberg,STARS OF SOUNDS,2013-07-12,[CANDY DULFER]
1109,Aarberg,STARS OF SOUNDS,2013-07-13,[77 BOMBAY STREET]
1110,Frauenfeld,OPENAIR FRAUENFELD,2013-07-14,[SNOOP DOGG]
1111,Geneve,MUSIQUES EN ETE,2013-07-19,[DARAN]
1112,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2013-07-20,[FRANCOIS XAVIER POIZAT]
1113,Montreux,MONTREUX JAZZ FESTIVAL,2013-07-21,"[MARCUS MILLER, PHILIPP FANKHAUSER]"
1114,Geneve,MUSIQUES EN ETE,2013-07-22,[STEVE SWALLOW]
1115,Nyon,PALEO FESTIVAL,2013-07-23,[NEIL YOUNG & PROMISE OF THE REAL]
1116,Nyon,PALEO FESTIVAL,2013-07-24,[ARCTIC MONKEYS]
1117,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2013-07-25,[BENOIT CAPT]
1118,Nyon,PALEO FESTIVAL,2013-07-26,[CHRISTINE SALEM]
1119,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2013-07-27,[VINCENT LUCAS]
1120,Nyon,PALEO FESTIVAL,2013-07-28,[PATRICK BRUEL]
1121,Geneve,MUSIQUES EN ETE,2013-07-29,[PIERRE BOUSSAGUET]
1122,Geneve,MUSIQUES EN ETE,2013-07-30,[CHRISTOPH PREGARDIEN]
1123,Geneve,MUSIQUES EN ETE,2013-07-31,[MAGMA]
1124,Geneve,FETES DE GENEVE,2013-08-01,"[DJ RAPHY, SELAH SUE]"
1125,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2013-08-02,[VAHAN MARDIROSSIAN]
1126,Sursee,SUMMER SOUND SUISSE,2013-08-03,[PATENT OCHSNER]
1127,Sursee,SUMMER SOUND SUISSE,2013-08-04,[KAYA YANAR]
1128,Geneve,MUSIQUES EN ETE,2013-08-05,[PHILIP CATHERINE]
1129,Geneve,MUSIQUES EN ETE,2013-08-06,[FLORIAN BOESCH]
1130,Geneve,MUSIQUES EN ETE,2013-08-07,[KAMI AWORI (ex CARAMEL BROWN)]
1131,Porrentruy,ROCK AIR PORRENTRUY,2013-08-08,[THE RABEATS]
1132,Porrentruy,ROCK AIR PORRENTRUY,2013-08-09,[FOZZY]
1133,Zurich,STREET BASS FESTIVAL,2013-08-10,[FUKKK OFFF]
1134,Porrentruy,ROCK AIR PORRENTRUY,2013-08-11,[HENRI GIRAUD]
1135,Geneve,MUSIQUES EN ETE,2013-08-12,[DENA DEROSE]
1136,Geneve,MUSIQUES EN ETE,2013-08-13,[ORCHESTRE DE CHAMBRE DE GENEVE]
1137,Geneve,MUSIQUES EN ETE,2013-08-14,[ALIOSE]
1138,Le Locle,ROCK ALTITUDE,2013-08-15,[TAMBOURS DU BRONX]
1139,Le Locle,ROCK ALTITUDE,2013-08-16,[THE DEFTONES]
1140,Le Locle,ROCK ALTITUDE,2013-08-17,[THE ANIMEN]
1141,Gampel,OPEN AIR DE GAMPEL,2013-08-18,[LARRY AND HIS FLASK]
1142,Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2013-08-20,[VADIM REPIN]
1143,Geneve,MUSIQUES EN ETE,2013-08-21,[FANFARE DU LOUP ORCHESTRA (LE CRI DU SON)]
1144,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2013-08-22,[STEPAN SIMONIAN]
1145,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2013-08-23,[TRACTION A VENT]
1146,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2013-08-24,[CEUX QUI MARCHENT DEBOUT (CQMD)]
1147,Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2013-08-25,"[ELISABETH MEYER, XAVIER DE MAISTRE]"
1148,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2013-08-26,[AGATHE IRACEMA]
1149,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2013-08-27,[MARTIN LECHNER]
1150,Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2013-08-28,[YUJA WANG]
1151,Sierre,SIERRE BLUES FESTIVAL,2013-08-29,[TEXAS]
1152,Sierre,SIERRE BLUES FESTIVAL,2013-08-30,[FABIAN ANDERHUB]
1153,Sierre,SIERRE BLUES FESTIVAL,2013-08-31,[THE DOORS REVIVAL]
1154,Sierre,SIERRE BLUES FESTIVAL,2013-09-01,[SHARRIE WILLIAMS]
1155,Vevey,SEPTEMBRE MUSICAL,2013-09-02,[ROLAND MUHR]
1156,Veytaux,SEPTEMBRE MUSICAL,2013-09-04,[CHENG ZHANG]
1157,Montreux,SEPTEMBRE MUSICAL,2013-09-05,[KIRILL GERSTEIN]
1158,Veyras en Valais,TOHU BOHU A VEYRAS,2013-09-06,[SOPHIE HUNGER]
1159,Veyras en Valais,TOHU BOHU A VEYRAS,2013-09-07,[THE HERBALISER]
1160,Montreux,SEPTEMBRE MUSICAL,2013-09-08,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES]
1161,Veytaux,SEPTEMBRE MUSICAL,2013-09-09,[RONAN PATOCKA]
1162,Montreux,SEPTEMBRE MUSICAL,2013-09-10,[COREY CEROVSEK]
1163,Montreux,SEPTEMBRE MUSICAL,2013-09-11,[ORCHESTRE PHILHARMONIQUE DE SAINT PETERSBOURG]
1164,Vevey,SEPTEMBRE MUSICAL,2013-09-12,[ORCHESTRE DE LA SUISSE ROMANDE]
1165,Carouge,MURS DU SON A CAROUGE,2013-09-13,[ASTEROID BEACH]
1166,Carouge,MURS DU SON A CAROUGE,2013-09-14,[OVERDRIVE]
1167,Lausanne,HOLY GROOVE FESTIVAL,2013-10-03,[EJMA FUNK BAND]
1168,Yverdon Les Bains,JAZZCONTREBAND,2013-10-04,[RAAGA TRIO]
1169,Thonon Les Bains,JAZZCONTREBAND,2013-10-05,[JOHN ABERCROMBIE]
1170,Lausanne,HOLY GROOVE FESTIVAL,2013-10-06,[THE TWO]
1171,Geneve,JAZZCONTREBAND,2013-10-07,[GENTLE MARVEL]
1172,Divonne Les Bains,JAZZCONTREBAND,2013-10-08,[CHRISTINE PYTHON]
1173,Annemasse,JAZZCONTREBAND,2013-10-09,[LE BOCAL]
1174,Le Lignon,VERNIER SUR ROCK,2013-10-10,[DISAGONY]
1175,Le Lignon,VERNIER SUR ROCK,2013-10-11,[WAYNE PAUL]
1176,Le Lignon,VERNIER SUR ROCK,2013-10-12,[BALTHAZAR]
1177,Geneve,JAZZCONTREBAND,2013-10-13,[EUROPEAN JAZZ ORCHESTRA]
1178,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2013-10-16,[MARTIN MESSIER]
1179,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2013-10-17,[LEIF ELGGREN]
1180,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2013-10-18,"[RAVI SHARDJA, NATE YOUNG]"
1181,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2013-10-19,[ENDON]
1182,Geneve,JAZZCONTREBAND,2013-10-21,[MANU GESSENEY]
1183,Nyon,NYON'S ON FIRE,2013-10-25,[SMASH HIT COMBO]
1184,Nyon,NYON'S ON FIRE,2013-10-26,[WE HAVE BAND]
1185,Lausanne,FESTIVAL BACH DE LAUSANNE,2013-10-27,[ENSEMBLE ELYMA]
1186,Lausanne,JAZZ ONZE +,2013-10-30,[JEAN-LOU TREBOUX]
1187,Lausanne,JAZZ ONZE +,2013-10-31,[SAMUEL BLASER]
1188,Lausanne,JAZZ ONZE +,2013-11-01,[TOMASZ STANKO]
1189,Lausanne,JAZZ ONZE +,2013-11-02,[CHRISTIAN SCOTT]
1190,Lausanne,JAZZ ONZE +,2013-11-03,[STRATUS SUR LE PLATEAU]
1191,Lausanne,METROPOP FESTIVAL,2013-11-07,[PAROV STELAR]
1192,Pratteln,ROCK POWER FESTIVAL,2013-11-08,[BONFIRE]
1193,Lausanne,METROPOP FESTIVAL,2013-11-09,[GAETAN ROUSSEL]
1194,Lausanne,FESTIVAL BACH DE LAUSANNE,2013-11-13,[ORCHESTRE DES JEUNES DU CONSERVATOIRE DE LAUSANNE]
1195,Lausanne,FESTIVAL BACH DE LAUSANNE,2013-11-15,[ORCHESTRE CAPPELLA DE TURCHINI]
1196,Lausanne,FESTIVAL BACH DE LAUSANNE,2013-11-17,[WIELAND KUIJKEN]
1197,Lausanne,FESTIVAL BACH DE LAUSANNE,2013-11-20,[XASAX]
1198,Bern,FESTIVAL SAINT GHETTO,2013-11-21,[LAIBACH]
1199,Bern,FESTIVAL SAINT GHETTO,2013-11-22,[OM]
1200,Bern,FESTIVAL SAINT GHETTO,2013-11-23,[UZ JSME DOMA]
1201,Lausanne,FESTIVAL BACH DE LAUSANNE,2013-11-27,[ETUDIANTS DE L'HEMU]
1202,Morgins,C'EST L'HIVER ! MORGINS FESTIVAL,2013-12-06,[ANTIPODS]
1203,Morgins,C'EST L'HIVER ! MORGINS FESTIVAL,2013-12-07,"[BISCUIT, GALA]"
1204,Soleure,INSANE FESTIVAL,2014-01-25,[FUKKK OFFF]
1205,Le Lignon,ANTIGEL,2014-02-01,[TEMPLES]
1206,Carouge,ANTIGEL,2014-02-02,[DORIAN WOOD]
1207,Geneve,ANTIGEL,2014-02-03,[PHILIP GLASS]
1208,Geneve,ANTIGEL,2014-02-04,[SERGE TEYSSOT GAY]
1209,Plan les Ouates,ANTIGEL,2014-02-05,[JOHN THE CONQUEROR]
1210,Geneve,ANTIGEL,2014-02-06,[AGNES OBEL]
1211,Le Lignon,ANTIGEL,2014-02-07,[JAY JAY JOHANSON]
1212,Genthod,ANTIGEL,2014-02-08,[ADAM GREEN]
1213,Collonge Bellerive,ANTIGEL,2014-02-09,[WILLIAM FITZSIMMONS]
1214,Confignon,ANTIGEL,2014-02-10,[FOREST SWORDS]
1215,Grand Saconnex,ANTIGEL,2014-02-11,[CODY CHESNUTT]
1216,Geneve,ANTIGEL,2014-02-12,[CONNAN MOCKASIN]
1217,Geneve,ANTIGEL,2014-02-13,[JUNIP (JOSE GONZALEZ)]
1218,Geneve,ANTIGEL,2014-02-14,[TRENTEMOLLER]
1219,Geneve,ANTIGEL,2014-02-15,[TAMIKREST]
1220,Geneve,ANTIGEL,2014-02-16,[THEE SILVER MT ZION MEMORIAL]
1221,Neuchatel,OTHERJAZZ FESTIVAL,2014-02-19,[ANTEZ]
1222,Le Locle,OTHERJAZZ FESTIVAL,2014-02-20,[LUCIEN DUBUIS]
